Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-10-27 18:00:00,6405.41,6405.41,6395,6398.86,21.96,140568.44,6401.53
2018-10-27 19:00:00,6398.85,6405,6391.15,6402,45.5,291067.41,6397.06
2018-10-27 20:00:00,6402,6409,6391.23,6403.28,40.32,257982.75,6398.32
2018-10-27 21:00:00,6406.38,6410.74,6402.71,6410,33.97,217641.71,6407.59
2018-10-27 22:00:00,6410,6420,6405,6413.55,24.74,158666.37,6413.74
2018-10-27 23:00:00,6413.54,6414,6403.61,6407.66,22.17,142016.18,6406.31
2018-10-28 00:00:00,6407.66,6408.22,6400.93,6403.6,15.03,96268.75,6403.88
2018-10-28 01:00:00,6403.61,6406.32,6403.59,6406.32,9.07,58077.28,6405.85
2018-10-28 02:00:00,6406.32,6406.67,6405,6406.32,38.3,245362.45,6406.26
2018-10-28 03:00:00,6406.33,6406.37,6405.18,6406.36,12.28,78695.28,6405.99
2018-10-28 04:00:00,6406.36,6407.99,6405.87,6406.38,20.51,131416.88,6407.09
2018-10-28 05:00:00,6406.43,6410.88,6405.87,6410.88,10.39,66576.31,6408.51
2018-10-28 06:00:00,6411.29,6412.91,6401.36,6403.53,55.3,354390.04,6408.72
2018-10-28 07:00:00,6405.08,6406.77,6395.92,6400.28,71.85,459997.49,6402.13
